input_name,search_name,matched_uri,match_count
"Acrocephalus orientalis","Acrocephalus orientalis","https://test.biodiversity.org.au/afd/taxa/Acrocephalus_%28Acrocephalus%29_orientalis",1
"Actitis hypoleucos","Actitis hypoleucos","http://biodiversity.org.au/afd.taxon/abeb5bf8-d03e-4b33-a1ea-bcfc0695102c",1
"Anous stolidus","Anous stolidus","http://biodiversity.org.au/afd.taxon/00cf9ec9-1cd2-4389-a1fc-a080ee3c81d6",1
"Anoxypristis cuspidata","Anoxypristis cuspidata","https://test.biodiversity.org.au/afd/taxa/Anoxypristis_cuspidata",1
"Apus pacificus","Apus pacificus","https://test.biodiversity.org.au/afd/taxa/Apus_%28Apus%29_pacificus",2
"Apus pacificus","Apus pacificus","https://test.biodiversity.org.au/afd/taxa/Apus_%28Apus%29_pacificus_pacificus",2
"Ardenna carneipes","Ardenna carneipes","https://test.biodiversity.org.au/afd/taxa/Ardenna_carneipes",1
"Ardenna grisea","Ardenna grisea","http://biodiversity.org.au/afd.taxon/b3e019a8-14ef-4490-a1e9-0b9f04d53a75",1
"Ardenna pacifica","Ardenna pacifica","https://test.biodiversity.org.au/afd/taxa/Ardenna_pacifica",1
"Ardenna tenuirostris","Ardenna tenuirostris","https://test.biodiversity.org.au/afd/taxa/Ardenna_tenuirostris",1
"Arenaria interpres","Arenaria interpres","http://biodiversity.org.au/afd.taxon/2fa47871-3637-4b3a-bfd8-89750d53e8fa",1
"Balaenoptera bonaerensis","Balaenoptera bonaerensis","http://biodiversity.org.au/afd.taxon/c179befb-7c52-4009-8f40-b9dd8940f493",1
"Balaenoptera borealis","Balaenoptera borealis","http://biodiversity.org.au/afd.taxon/450bbdd2-cd50-4505-9466-15c1e24f7aa0",1
"Balaenoptera edeni","Balaenoptera edeni","http://biodiversity.org.au/afd.taxon/2f3ea648-36e2-4e5b-8d30-b6272a7efce4",1
"Balaenoptera musculus","Balaenoptera musculus","https://test.biodiversity.org.au/afd/taxa/Balaenoptera_musculus",1
"Balaenoptera omurai","Balaenoptera omurai","http://biodiversity.org.au/afd.taxon/ed8c4f24-87e0-4875-a1c0-08d1b0a509e0",1
"Balaenoptera physalus","Balaenoptera physalus","https://test.biodiversity.org.au/afd/taxa/Balaenoptera_physalus",1
"Bulweria bulwerii","Bulweria bulwerii","http://biodiversity.org.au/afd.taxon/57026f49-7348-48a4-895e-1ab655df3d2d",1
"Calidris acuminata","Calidris acuminata","https://test.biodiversity.org.au/afd/taxa/Calidris_%28Erolia%29_acuminata",1
"Calidris alba","Calidris alba","https://test.biodiversity.org.au/afd/taxa/Calidris_%28Crocethia%29_alba",2
"Calidris alba","Calidris alba","https://test.biodiversity.org.au/afd/taxa/Calidris_%28Crocethia%29_alba_alba",2
"Calidris canutus","Calidris canutus","https://test.biodiversity.org.au/afd/taxa/Calidris_%28Calidris%29_canutus",3
"Calidris canutus","Calidris canutus","https://test.biodiversity.org.au/afd/taxa/Calidris_%28Calidris%29_canutus_piersmai",3
"Calidris canutus","Calidris canutus","https://test.biodiversity.org.au/afd/taxa/Calidris_%28Calidris%29_canutus_rogersi",3
"Calidris falcinellus","Calidris falcinellus","https://test.biodiversity.org.au/afd/taxa/Calidris_%28Calidris%29_falcinellus",1
"Calidris ferruginea","Calidris ferruginea","https://test.biodiversity.org.au/afd/taxa/Calidris_%28Erolia%29_ferruginea",1
"Calidris melanotos","Calidris melanotos","https://test.biodiversity.org.au/afd/taxa/Calidris_%28Erolia%29_melanotos",1
"Calidris pugnax","Calidris pugnax","https://test.biodiversity.org.au/afd/taxa/Calidris_pugnax",1
"Calidris ruficollis","Calidris ruficollis","https://test.biodiversity.org.au/afd/taxa/Calidris_%28Ereunetes%29_ruficollis",1
"Calidris subminuta","Calidris subminuta","https://test.biodiversity.org.au/afd/taxa/Calidris_%28Ereunetes%29_subminuta",1
"Calidris tenuirostris","Calidris tenuirostris","https://test.biodiversity.org.au/afd/taxa/Calidris_%28Calidris%29_tenuirostris",1
"Calonectris leucomelas","Calonectris leucomelas","http://biodiversity.org.au/afd.taxon/3ce5a7e3-24fb-4054-9f18-a1effb88d5a8",1
"Caperea marginata","Caperea marginata","https://test.biodiversity.org.au/afd/taxa/Caperea_marginata",1
"Carcharhinus falciformis","Carcharhinus falciformis","https://test.biodiversity.org.au/afd/taxa/Carcharhinus_falciformis",1
"Carcharhinus longimanus","Carcharhinus longimanus","https://test.biodiversity.org.au/afd/taxa/Carcharhinus_longimanus",1
"Carcharias taurus","Carcharias taurus","http://biodiversity.org.au/afd.taxon/8a41c428-e001-4259-934f-36d5b55e9541",1
"Carcharodon carcharias","Carcharodon carcharias","https://test.biodiversity.org.au/afd/taxa/Carcharodon_carcharias",1
"Caretta caretta","Caretta caretta","https://test.biodiversity.org.au/afd/taxa/Caretta_caretta",1
"Cecropis daurica","Cecropis daurica","",0
"Cetorhinus maximus","Cetorhinus maximus","https://test.biodiversity.org.au/afd/taxa/Cetorhinus_maximus",1
"Charadrius bicinctus","Charadrius bicinctus","https://test.biodiversity.org.au/afd/taxa/Charadrius_%28Charadrius%29_bicinctus_bicinctus",1
"Charadrius dubius","Charadrius dubius","https://test.biodiversity.org.au/afd/taxa/Charadrius_%28Charadrius%29_dubius_dubius",1
"Charadrius leschenaultii","Charadrius leschenaultii","https://test.biodiversity.org.au/afd/taxa/Charadrius_%28Charadrius%29_leschenaultii_leschenaultii",1
"Charadrius mongolus","Charadrius mongolus","https://test.biodiversity.org.au/afd/taxa/Charadrius_%28Charadrius%29_mongolus_mongolus",1
"Charadrius veredus","Charadrius veredus","https://test.biodiversity.org.au/afd/taxa/Charadrius_%28Eupoda%29_veredus",1
"Chelonia mydas","Chelonia mydas","https://test.biodiversity.org.au/afd/taxa/Chelonia_mydas",1
"Chlidonias leucopterus","Chlidonias leucopterus","https://test.biodiversity.org.au/afd/taxa/Chlidonias_%28Chlidonias%29_leucopterus",1
"Crocodylus porosus","Crocodylus porosus","http://biodiversity.org.au/afd.taxon/989a7126-df02-4f1f-a21f-feca59662947",1
"Cuculus optatus","Cuculus optatus","http://biodiversity.org.au/afd.taxon/a59d59b3-a9b5-4e6a-ab0e-7602c447d50e",1
"Dermochelys coriacea","Dermochelys coriacea","https://test.biodiversity.org.au/afd/taxa/Dermochelys_coriacea",1
"Diomedea amsterdamensis","Diomedea amsterdamensis","http://biodiversity.org.au/afd.taxon/67ab9a8c-5e66-4e3a-9062-82894aeb5f06",1
"Diomedea antipodensis","Diomedea antipodensis","http://biodiversity.org.au/afd.taxon/5c566548-e698-44bf-996f-8d9be78c02d8",1
"Diomedea dabbenena","Diomedea dabbenena","http://biodiversity.org.au/afd.taxon/489b57c7-4f23-43c7-b465-fdc55f3baad3",1
"Diomedea epomophora","Diomedea epomophora","http://biodiversity.org.au/afd.taxon/b97cb235-4a5c-4033-9922-06837b194de7",1
"Diomedea exulans","Diomedea exulans","http://biodiversity.org.au/afd.taxon/702eb2fa-4723-4d0f-bca2-4e0d0770a6fb",1
"Diomedea sanfordi","Diomedea sanfordi","http://biodiversity.org.au/afd.taxon/fef65ae9-949c-44ea-8533-1745bf097a74",1
"Dugong dugon","Dugong dugon","https://test.biodiversity.org.au/afd/taxa/Dugong_dugon",1
"Eretmochelys imbricata","Eretmochelys imbricata","https://test.biodiversity.org.au/afd/taxa/Eretmochelys_imbricata",1
"Eubalaena australis","Eubalaena australis","https://test.biodiversity.org.au/afd/taxa/Eubalaena_australis",1
"Fregata andrewsi","Fregata andrewsi","http://biodiversity.org.au/afd.taxon/a34dfb52-93d0-4e83-a8e6-470a98ba7d64",1
"Fregata ariel","Fregata ariel","http://biodiversity.org.au/afd.taxon/5d4fdfee-25a2-4697-8237-5a755f0d19cc",1
"Fregata minor","Fregata minor","https://test.biodiversity.org.au/afd/taxa/Fregata_minor;Fregata",2
"Fregata minor","Fregata minor","https://test.biodiversity.org.au/afd/taxa/Fregata_minor_minor",2
"Gallinago hardwickii","Gallinago hardwickii","https://test.biodiversity.org.au/afd/taxa/Gallinago_%28Gallinago%29_hardwickii",1
"Gallinago megala","Gallinago megala","https://test.biodiversity.org.au/afd/taxa/Gallinago_%28Gallinago%29_megala",1
"Gallinago stenura","Gallinago stenura","https://test.biodiversity.org.au/afd/taxa/Gallinago_%28Gallinago%29_stenura",1
