Alternanthera philoxeroides
Andropogon gayanus
Annona glabra
Anredera cordifolia
Asparagus aethiopicus
Asparagus asparagoides
Asparagus declinatus
Cabomba caroliniana
Chrysanthemoides monilifera subsp. monilifera
Chrysanthemoides monilifera subsp. rotundata
Cryptostegia grandiflora
Cytisus scoparius
Dolichandra unguis-cati
Genista linifolia
Genista monspessulana
Hymenachne amplexicaulis
Jatropha gossypifolia
Lantana camara
Lycium ferocissimum
Mimosa pigra
Nassella neesiana
Nassella trichotoma
Opuntia
Parkinsonia aculeata
Parthenium hysterophorus
Pontederia crassipes
Prosopis
Rubus fruticosus
Sagittaria platyphylla
Salix
Salvinia molesta
Senecio madagascariensis
Solanum elaeagnifolium
Tamarix aphylla
Ulex europaeus
Vachellia nilotica
